TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,MiFIR Identifier Description,ICB Industry,ICB Super-Sector Name,Start date,Country of Incorporation,Trading Currency,LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
SPA,1SPATIAL PLC,ORD 10P,GB00BFZ45C84,SHRS,Shares,Technology,Technology,21/08/2018,United Kingdom,GBX,AIM,,ASX1,AIMP
III,3I GROUP PLC,ORD 73 19/22P,GB00B1YW4409,SHRS,Shares,Financials,Financial Services ,16/07/2007,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET1,FS10
3IN,3I INFRASTRUCTURE PLC,ORD NPV,JE00BF5FX167,SHRS,Shares,Financials,Financial Services ,15/03/2018,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
4BB,4BASEBIO PLC,ORD EUR1.00,GB00BMCLYF79,SHRS,Shares,Health Care ,Health Care  ,29/07/2021,United Kingdom,GBX,AIM,,ASQ1,AMQ1
DDDD,4D PHARMA PLC,ORD 0.25P,GB00BJL5BR07,SHRS,Shares,Health Care ,Health Care  ,18/02/2014,United Kingdom,GBX,AIM,,AMSM,ASM7
4GBL,4GLOBAL PLC,ORD 1P,GB00BLH36N37,SHRS,Shares,Technology,Technology,07/12/2021,United Kingdom,GBX,AIM,,ASQ1,AMQ1
FOUR,4IMPRINT GROUP PLC,ORD 38 6/13P,GB0006640972,SHRS,Shares,Consumer Discretionary,Media,18/12/2006,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
SIXH,600 GROUP PLC,ORD 1P,GB0008121641,SHRS,Shares,Basic Materials,Basic Resources,16/04/1996,United Kingdom,GBX,AIM,,ASQ1,AMQ1
7DIG,7DIGITAL GROUP PLC,ORD 0.01P,GB00BMH46555,SHRS,Shares,Consumer Discretionary,Retail ,10/06/2014,United Kingdom,GBX,AIM,,ASX1,AIMP
888,888 HOLDINGS PLC,ORD 0.5P (DI),GI000A0F6407,SHRS,Shares,Consumer Discretionary,Travel and Leisure,11/10/2006,Gibraltar,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
88E,88 ENERGY LIMITED,ORD NPV (DI),AU00000088E2,SHRS,Shares,Energy,Energy,06/03/2015,Australia,GBX,AIM,,ASQ1,AMQ1
ABC,ABCAM PLC,ORD 0.2P,GB00B6774699,SHRS,Shares,Health Care ,Health Care  ,15/11/2010,United Kingdom,GBX,AIM,,AMSM,AE50
ABDP,AB DYNAMICS PLC,ORD 1P,GB00B9GQVG73,SHRS,Shares,Industrials,Industrial Goods and Services,22/05/2013,United Kingdom,GBX,AIM,,ASQ1,AMQ1
ADIG,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,ORD 25P,GB0001297562,SHRS,Shares,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ANII,ABERDEEN NEW INDIA INVESTMENT TRUST PLC,ORD 25P,GB0006048770,SHRS,Shares,Financials,Financial Services ,22/12/2004,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASL,ABERFORTH SMALLER COMPANIES TRUST PLC,ORD 1P,GB0000066554,SHRS,Shares,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
ASIT,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,ORD 1P,GB00BYPBD394,SHRS,Shares,Financials,Financial Services ,03/07/2017,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASIZ,ABERFORTH SPLIT LEVEL INCOME TRUST PLC,ZDP 1P,GB00BYPBD519,SHRS,Shares,Financials,Financial Services ,03/07/2017,United Kingdom,GBX,MAIN MARKET,Standard Shares,SSQ3,SQS3
80JT,"AB ""IGNITIS GRUPE""",GDR (EACH REPR. 1 ORD) (144A),US66981G1085,DPRS,Depositary receipts,Utilities,Utilities,07/10/2020,Lithuania,EUR,MAIN MARKET,Standard GDRs,MISC,INTM
IGN,"AB ""IGNITIS GRUPE""",GDR (EACH REPR. 1 ORD) (REG S),US66981G2075,DPRS,Depositary receipts,Utilities,Utilities,07/10/2020,Lithuania,EUR,MAIN MARKET,Standard GDRs,IOBE,LLHE
ABDX,ABINGDON HEALTH PLC,ORD 0.025P,GB00BLF79J41,SHRS,Shares,Health Care ,Health Care  ,15/12/2020,United Kingdom,GBX,AIM,,ASQ1,AMQ1
AAS,ABRDN ASIA FOCUS PLC,ORD 5P,GB00BMF19B58,SHRS,Shares,Financials,Financial Services ,04/02/2022,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
AAIF,ABRDN ASIAN INCOME FUND LIMITED,ORD NPV,GB00B0P6J834,SHRS,Shares,Financials,Financial Services ,18/12/2006,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ACIC,ABRDN CHINA INVESTMENT COMPANY LIMITED,ORD 1P,GG00B45L2K95,SHRS,Shares,Financials,Financial Services ,10/11/2009,Guernsey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
AEI,ABRDN EQUITY INCOME TRUST PLC,ORD 25P,GB0006039597,SHRS,Shares,Financials,Financial Services ,29/12/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ASLI,ABRDN EUROPEAN LOGISTICS INCOME PLC,ORD 1P,GB00BD9PXH49,SHRS,Shares,Financials,Financial Services ,15/12/2017,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
AJIT,ABRDN JAPAN INVESTMENT TRUST PLC,ORD 10P,GB0003920757,SHRS,Shares,Financials,Financial Services ,10/11/2006,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ALAI,ABRDN LATIN AMERICAN INCOME FUND LIMITED,ORD NPV,JE00B44ZTP62,SHRS,Shares,Financials,Financial Services ,16/08/2010,Jersey,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ABD,ABRDN NEW DAWN INVESTMENT TRUST PLC,ORD 5P,GB00BBM56V29,SHRS,Shares,Financials,Financial Services ,03/09/2013,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ABDN,ABRDN PLC,ORD 13 61/63P,GB00BF8Q6K64,SHRS,Shares,Financials,Financial Services ,22/10/2018,United Kingdom,GBX,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
APEO,ABRDN PRIVATE EQUITY OPPORTUNITIES TRUST PLC,ORD 0.2P,GB0030474687,SHRS,Shares,Financials,Financial Services ,19/12/2005,United Kingdom,GBX,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25T
